GarageNumb,Marsh,Graph,Smena,TimeNav,Latitude,Longitude,Speed,Azimuth
1123,37,30,1,14.11.202011:40:40,55.78265,49.115467,15,143
1123,37,30,1,14.11.202011:40:40,55.78265,49.115467,15,143
1123,37,30,1,14.11.202011:40:40,55.78265,49.115467,15,143
1123,37,30,1,14.11.202011:41:40,55.78445,49.118567,37,37
1123,37,30,1,14.11.202011:41:40,55.78445,49.118567,37,37
1123,37,30,1,14.11.202011:41:40,55.78445,49.118567,37,37
1123,37,30,1,14.11.202011:42:40,55.785633,49.121517,17,130
1123,37,30,1,14.11.202011:42:40,55.785633,49.121517,17,130
1123,37,30,1,14.11.202011:42:40,55.785633,49.121517,17,130
1123,37,30,1,14.11.202011:43:40,55.785083,49.122467,26,133
1123,37,30,1,14.11.202011:43:40,55.785083,49.122467,26,133
1123,37,30,1,14.11.202011:43:40,55.785083,49.122467,26,133
1123,37,30,1,14.11.202011:44:40,55.78265,49.12715,0,338
1123,37,30,1,14.11.202011:44:40,55.78265,49.12715,0,338
1123,37,30,1,14.11.202011:44:40,55.78265,49.12715,0,338
1123,37,30,1,14.11.202011:45:40,55.780267,49.132283,37,132
1123,37,30,1,14.11.202011:45:40,55.780267,49.132283,37,132
1123,37,30,1,14.11.202011:45:40,55.780267,49.132283,37,132
1123,37,30,1,14.11.202011:46:40,55.779383,49.133833,9,140
1123,37,30,1,14.11.202011:46:40,55.779383,49.133833,9,140
1123,37,30,1,14.11.202011:46:40,55.779383,49.133833,9,140
1123,37,30,1,14.11.202011:47:40,55.7763,49.132233,4,113
1123,37,30,1,14.11.202011:47:40,55.7763,49.132233,4,113
1123,37,30,1,14.11.202011:47:40,55.7763,49.132233,4,113
1123,37,30,1,14.11.202011:47:40,55.7763,49.132233,4,113
1123,37,30,1,14.11.202011:47:40,55.7763,49.132233,4,113
1123,37,30,1,14.11.202011:47:40,55.7763,49.132233,4,113
1123,37,30,1,14.11.202011:49:40,55.773467,49.138717,0,18
1123,37,30,1,14.11.202011:49:40,55.773467,49.138717,0,18
1123,37,30,1,14.11.202011:49:40,55.773467,49.138717,0,18
1123,37,30,1,14.11.202011:50:40,55.7726,49.14055,0,193
1123,37,30,1,14.11.202011:50:40,55.7726,49.14055,0,193
1123,37,30,1,14.11.202011:50:40,55.7726,49.14055,0,193
1123,37,30,1,14.11.202011:51:40,55.7691,49.145233,33,151
1123,37,30,1,14.11.202011:51:40,55.7691,49.145233,33,151
1123,37,30,1,14.11.202011:51:40,55.7691,49.145233,33,151
1123,37,30,1,14.11.202011:52:40,55.76685,49.147317,30,155
1123,37,30,1,14.11.202011:52:40,55.76685,49.147317,30,155
1123,37,30,1,14.11.202011:52:40,55.76685,49.147317,30,155
1123,37,30,1,14.11.202011:53:40,55.764833,49.14915,0,97
1123,37,30,1,14.11.202011:53:40,55.764833,49.14915,0,97
1123,37,30,1,14.11.202011:53:40,55.764833,49.14915,0,97
1123,37,30,1,14.11.202011:54:40,55.763283,49.153833,48,96
1123,37,30,1,14.11.202011:54:40,55.763283,49.153833,48,96
1123,37,30,1,14.11.202011:54:40,55.763283,49.153833,48,96
1123,37,30,1,14.11.202011:55:40,55.763133,49.163917,39,78
1123,37,30,1,14.11.202011:55:40,55.763133,49.163917,39,78
1123,37,30,1,14.11.202011:55:40,55.763133,49.163917,39,78
1123,37,30,1,14.11.202011:56:40,55.764917,49.16905,31,79
1123,37,30,1,14.11.202011:56:40,55.764917,49.16905,31,79
1123,37,30,1,14.11.202011:56:40,55.764917,49.16905,31,79
1123,37,30,1,14.11.202011:57:40,55.764917,49.172933,9,89
1123,37,30,1,14.11.202011:57:40,55.764917,49.172933,9,89
1123,37,30,1,14.11.202011:57:40,55.764917,49.172933,9,89
1123,37,30,1,14.11.202011:58:40,55.7648,49.174683,11,94
1123,37,30,1,14.11.202011:58:40,55.7648,49.174683,11,94
1123,37,30,1,14.11.202011:58:40,55.7648,49.174683,11,94
1123,37,30,1,14.11.202011:59:40,55.764717,49.17605,4,82
1123,37,30,1,14.11.202011:59:40,55.764717,49.17605,4,82
1123,37,30,1,14.11.202011:59:40,55.764717,49.17605,4,82
1123,37,30,1,14.11.202012:00:40,55.765633,49.180583,13,51
1123,37,30,1,14.11.202012:00:40,55.765633,49.180583,13,51
1123,37,30,1,14.11.202012:00:40,55.765633,49.180583,13,51
1123,37,30,1,14.11.202012:01:40,55.76385,49.184817,41,135
1123,37,30,1,14.11.202012:01:40,55.76385,49.184817,41,135
1123,37,30,1,14.11.202012:01:40,55.76385,49.184817,41,135
1123,37,30,1,14.11.202012:02:40,55.760783,49.190017,52,139
1123,37,30,1,14.11.202012:02:40,55.760783,49.190017,52,139
1123,37,30,1,14.11.202012:02:40,55.760783,49.190017,52,139
1123,37,30,1,14.11.202012:03:40,55.759317,49.19245,28,134
1123,37,30,1,14.11.202012:03:40,55.759317,49.19245,28,134
1123,37,30,1,14.11.202012:03:40,55.759317,49.19245,28,134
1123,37,30,1,14.11.202012:04:40,55.757017,49.1965,0,145
1123,37,30,1,14.11.202012:04:40,55.757017,49.1965,0,145
1123,37,30,1,14.11.202012:04:40,55.757017,49.1965,0,145
1123,37,30,1,14.11.202012:05:40,55.754183,49.201283,41,136
1123,37,30,1,14.11.202012:05:40,55.754183,49.201283,41,136
1123,37,30,1,14.11.202012:05:40,55.754183,49.201283,41,136
1123,37,30,1,14.11.202012:06:40,55.751383,49.2056,44,135
1123,37,30,1,14.11.202012:06:40,55.751383,49.2056,44,135
1123,37,30,1,14.11.202012:06:40,55.751383,49.2056,44,135
1123,37,30,1,14.11.202012:06:40,55.751383,49.2056,44,135
1123,37,30,1,14.11.202012:07:40,55.7494,49.207233,0,149
1123,37,30,1,14.11.202012:07:40,55.7494,49.207233,0,149
